row,snu1uid,statename,snu2,level4name,level5name,uid,uid_diff,psnuuid
120,R4vqlQuPEP3,Bayelsa,Southern Ijaw,Bayelsa,by Southern IJaw,XrKyi1pvgsU,,XrKyi1pvgsU
121,R4vqlQuPEP3,Bayelsa,Ekeremor,Bayelsa,by Ekeremor,WzDT4si39yH,,WzDT4si39yH
122,R4vqlQuPEP3,Bayelsa,Kolokuma/Opokuma,Bayelsa,by Kolokuma-Opokuma,NncixRTUNA8,,NncixRTUNA8
123,R4vqlQuPEP3,Bayelsa,Yenegoa,Bayelsa,by Yenagoa,zr3XYkgbfIc,,zr3XYkgbfIc
124,R4vqlQuPEP3,Bayelsa,Sagbama,Bayelsa,by Sagbama,a7N7uRgXtvy,,a7N7uRgXtvy
125,R4vqlQuPEP3,Bayelsa,Brass,Bayelsa,by Brass,e340iNYBFKT,,e340iNYBFKT
126,R4vqlQuPEP3,Bayelsa,Ogbia,Bayelsa,by Ogbia,UPDz1QKEaPi,,UPDz1QKEaPi
127,R4vqlQuPEP3,Bayelsa,Nembe,Bayelsa,by Nembe,h5mI0PnkLy2,,h5mI0PnkLy2
128,vSN6HHeBPqw,Benue,Buruku,Benue,be Buruku,QBFbFh5zJWX,,QBFbFh5zJWX
129,vSN6HHeBPqw,Benue,Oturkpo,Benue,be Otukpo,RM45QszoeEi,,RM45QszoeEi
130,vSN6HHeBPqw,Benue,Agatu,Benue,be Agatu,lUn6tmhyebg,,lUn6tmhyebg
131,vSN6HHeBPqw,Benue,Gboko,Benue,be Gboko,i0MUgv6vIAM,,i0MUgv6vIAM
132,vSN6HHeBPqw,Benue,Okpokwu,Benue,be Okpokwu,Sf0fPuVTEf1,,Sf0fPuVTEf1
133,vSN6HHeBPqw,Benue,Gwer East,Benue,be Gwer East,PJJsxvEhEW5,,PJJsxvEhEW5
134,vSN6HHeBPqw,Benue,Makurdi,Benue,be Makurdi,Q2Gb99dokfK,,Q2Gb99dokfK
135,vSN6HHeBPqw,Benue,Konshisha,Benue,be Konshisha,gpgLJrma8Tm,,gpgLJrma8Tm
136,vSN6HHeBPqw,Benue,Tarka,Benue,be Tarka,eFnaQTWW1DC,,eFnaQTWW1DC
137,vSN6HHeBPqw,Benue,Oju,Benue,be Oju,L9g3RB3Jqy3,,L9g3RB3Jqy3
138,JPR7FWvI4Jq,Ogun,Ikenne,Ogun,og Ikenne,kAWl47kmoyv,,kAWl47kmoyv
139,vSN6HHeBPqw,Benue,Gwer West,Benue,be Gwer West,bU41bAD1r84,,bU41bAD1r84
140,vSN6HHeBPqw,Benue,Ogbadibo,Benue,be Ogbadibo,TaAqWZoyAof,,TaAqWZoyAof
141,vSN6HHeBPqw,Benue,Logo,Benue,be Logo,ZewNOZ5xMp9,,ZewNOZ5xMp9
142,vSN6HHeBPqw,Benue,Apa,Benue,be Apa,OG6fY4TsvRM,,OG6fY4TsvRM
143,vSN6HHeBPqw,Benue,Ohimini,Benue,be Ohimini,nWLwNNNzJ7N,,nWLwNNNzJ7N
144,vSN6HHeBPqw,Benue,Katsina-Ala,Benue,be Katsina-Ala,DluyXbyv63Q,,DluyXbyv63Q
145,vSN6HHeBPqw,Benue,Ushongo,Benue,be Ushongo,apUWJiF9sQ2,,apUWJiF9sQ2
146,vSN6HHeBPqw,Benue,Ado,Benue,be Ado,qRUSFz9WFB6,,qRUSFz9WFB6
147,vSN6HHeBPqw,Benue,Obi,Benue,be Obi,PuJqb4zMn4A,,PuJqb4zMn4A
148,vSN6HHeBPqw,Benue,Kwande,Benue,be Kwande,v7xGqiid6Pg,,v7xGqiid6Pg
149,vSN6HHeBPqw,Benue,Ukum,Benue,be Ukum,cvkiCumu2an,,cvkiCumu2an
150,vSN6HHeBPqw,Benue,Guma,Benue,be Guma,YbtVeNOCICl,,YbtVeNOCICl
151,vSN6HHeBPqw,Benue,Vandeikya,Benue,be Vandeikya,FJ28GRyMVq9,,FJ28GRyMVq9
152,sXsTHBsj0rh,Borno,Damboa,Borno,bo Damboa,DEPsFEGZ6jU,,DEPsFEGZ6jU
153,sXsTHBsj0rh,Borno,Kwaya Kusar,Borno,bo Kwaya Kusar,v9EkkU2JyKZ,,v9EkkU2JyKZ
154,sXsTHBsj0rh,Borno,Gubio,Borno,bo Gubio,Ssbz4SEc1IM,,Ssbz4SEc1IM
155,sXsTHBsj0rh,Borno,Konduga,Borno,bo Konduga,h4dMPsRKUmh,,h4dMPsRKUmh
156,sXsTHBsj0rh,Borno,Marte,Borno,bo Marte,js4XVdXgkfq,,js4XVdXgkfq
157,sXsTHBsj0rh,Borno,Maiduguri,Borno,bo Maiduguri,qhRYYAbgQVH,,qhRYYAbgQVH
158,sXsTHBsj0rh,Borno,Biu,Borno,bo Biu,nUCOl5r6nTX,,nUCOl5r6nTX
159,eGalRf62pxe,Osun,Irewole,Osun,os Irewole,AIWlVFpaxFZ,,AIWlVFpaxFZ
160,sXsTHBsj0rh,Borno,Kaga,Borno,bo Kaga,nvpWc1dxZ2a,,nvpWc1dxZ2a
161,sXsTHBsj0rh,Borno,BAMA,Borno,bo Bama,cff8nY3Y9t6,,cff8nY3Y9t6
162,sXsTHBsj0rh,Borno,Abadam,Borno,bo Abadam,CUS7o0LhAty,,CUS7o0LhAty
163,sXsTHBsj0rh,Borno,Bayo,Borno,bo Bayo,IoVUPBw3cBJ,,IoVUPBw3cBJ
164,sXsTHBsj0rh,Borno,Dikwa,Borno,bo Dikwa,SqVuiOLlKb8,,SqVuiOLlKb8
165,sXsTHBsj0rh,Borno,Jere,Borno,bo Jere,GeeiQ1SxW8a,,GeeiQ1SxW8a
166,sXsTHBsj0rh,Borno,Mafa,Borno,bo Mafa,ynzQSRhyaHe,,ynzQSRhyaHe
167,sXsTHBsj0rh,Borno,Chibok,Borno,bo Chibok,XgcKWaZe33a,,XgcKWaZe33a
